Name,address,star,Rating+Noreview,Rank,price,seat,openclosedate-time,type,facilities
Craftsman Roastery,ถนนที่ไม่มีชื่อ เขตพระนคร กรุงเทพมหานคร 10200 กรุงเทพมหานคร,3.8, 87 เรตติ้ง (52 รีวิว),"อันดับ #3 จาก 7,728", (101 - 250 บาท),41 - 80 ที่นั่ง,{'ทุกวัน': ['07:30 - 18:00']},"คาเฟ่,ร้านกาแฟ/ชา,ของหวาน,","[{'Craftsman Roastery': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True, 'แอลกอฮอล์': True}]"
Walden Home Cafe,ค่าส่งเริ่มต้น 0 บาท *ภายในระยะทางที่กำหนด,4.1, 88 เรตติ้ง (66 รีวิว),"อันดับ #2 จาก 27,926", (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['08:00 - 17:00']},"ร้านกาแฟ/ชา,","[{'Walden Home Cafe': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
Factory Coffee - Bangkok (แฟคทอรี่คอฟฟี่ กรุงเทพ),ค่าส่งเริ่มต้น 0 บาท *ภายในระยะทางที่กำหนด,3.8, 392 เรตติ้ง (304 รีวิว),"อันดับ #3 จาก 27,926", (101 - 250 บาท),81 - 150  ที่นั่ง,{'ทุกวัน': ['08:00 - 16:30']},"ร้านกาแฟ/ชา,","[{'Factory Coffee - Bangkok (แฟคทอรี่คอฟฟี่ กรุงเทพ)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Amatissimo caffe' (อะมาทิสสิโม คาเฟ่ (ร้านใหม่อยู่ที่รามคำแหง)),729/26-27 ถนน รัชดาภิเษก แขวง บางโพงพาง เขต ยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย กรุงเทพมหานคร (หน้าบริษัทโอซีซี จำกัด (มหาชน)),4, 107 เรตติ้ง (100 รีวิว),"อันดับ #4 จาก 27,926", (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['07:00 - 18:00']},"ร้านกาแฟ/ชา,เบเกอรี/เค้ก,อาหารเช้า,","[{""Amatissimo caffe' (อะมาทิสสิโม คาเฟ่ (ร้านใหม่อยู่ที่รามคำแหง))"": True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Peace Oriental Teahouse (Peace Oriental Teahouse),"49, ซอยสุขุมวิท 49, คลองตันเหนือ, กรุงเทพมหานคร, 10110, ประเทศไทย กรุงเทพมหานคร",4, 221 เรตติ้ง (163 รีวิว),"อันดับ #5 จาก 27,926", (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['08:30 - 22:00']},"ร้านกาแฟ/ชา,คาเฟ่,","[{'Peace Oriental Teahouse (Peace Oriental Teahouse)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True}]"
NANA Coffee Roaster,24/2 ซอย อารีย์ 4 กรุงเทพมหานคร,4.2, 110 เรตติ้ง (92 รีวิว),"อันดับ #6 จาก 27,926", (251 - 500 บาท),,{'ทุกวัน': ['07:00 - 18:00']},"ร้านกาแฟ/ชา,คาเฟ่,","[{'NANA Coffee Roaster': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
Croissant Coffee House,ค่าส่งเริ่มต้น 0 บาท *ภายในระยะทางที่กำหนด,4, 38 เรตติ้ง (32 รีวิว),"อันดับ #7 จาก 27,926", (101 - 250 บาท),ไม่เกิน 10 ที่นั่ง,{'ทุกวัน': ['09:00 - 21:00']},"ร้านกาแฟ/ชา,เบเกอรี/เค้ก,","[{'Croissant Coffee House': True, 'ที่จอดรถ': True, 'Wi-Fi': False, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True}]"
Gallery กาแฟดริป (แกลอรี่ กาแฟ ดริป),"939, ถนนพระรามที่ 1, วังใหม่, กรุงเทพมหานคร, 10330, ประเทศไทย กรุงเทพมหานคร (ชั้น 1 ของ หอศิลปวัฒนธรรมแห่งกรุงเทพฯ)",4.1, 261 เรตติ้ง (223 รีวิว),"อันดับ #8 จาก 27,926", (101 - 250 บาท),11 - 40 ที่นั่ง,{'อังคาร - อาทิตย์': ['10:30 - 19:00']},"ร้านกาแฟ/ชา,","[{'Gallery กาแฟดริป (แกลอรี่ กาแฟ ดริป)': True, 'ที่จอดรถ': True, 'Wi-Fi': False, 'รับบัตรเครดิต': False}]"
[TEST] OS MENU,อาคาร ทีวัน 8 ถ. สุขุมวิท แขวง พระโขนง เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย กรุงเทพมหานคร,4, 276 เรตติ้ง (231 รีวิว),"อันดับ #13 จาก 33,585", (101 - 250 บาท),,{'ทุกวัน': ['00:00 - 23:59']},"อาหารจานเดียว,ร้านกาแฟ/ชา,","[{'[TEST] OS MENU': True, 'เดลิเวอรี': True}]"
ORBiT espresso BKK (ออบิทเอสเพรสโซบางกอก),ร้าน ORBiT espresso BKK ห้อง2508   16-16/1 ซ.พหลโยธิน35 ถ.พหลโยธิน กรุงเทพมหานคร (ซอยพหลโยธิน35ข้างปั๊มเอสโซติดวินมอเตอร์ไซค์),4, 136 เรตติ้ง (102 รีวิว),"อันดับ #10 จาก 27,926", (ต่ำกว่า 100 บาท),11 - 40 ที่นั่ง,"{'จันทร์ - ศุกร์': ['07:30 - 17:00'], 'เสาร์, อาทิตย์': ['08:00 - 17:00']}","ร้านกาแฟ/ชา,คาเฟ่,","[{'ORBiT espresso BKK (ออบิทเอสเพรสโซบางกอก)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
